Вектор Мощи,Скорость перехода через портал,Приток Силы Потока,Ритм магического ядра,Поток Энергий,Пламя Стихий,Температура вдоха Истока,Температура выдоха Истока,Приток давления Выдоха Истока,Давление вдоха Истока,Давление выдоха Истока,Древний Ветер,Печать Чародея,Эмульсия Истока,Дыхание Истока,Гармония Бессмертия,Полная сила потока,Более полная сила потока,Общая сила ядра,Общее давление на выходе,Магическая производительность,Эффективность ядра,Магическая мощность,Степень износа,Расхождение в стабильности магии,Баланс угасания магии,Коэффициент сжатия,ΔТемпературы,Степень износа магических истоков
1.138,1.54332,289.964,141.31815761667454,6677.38,464.006,736,646.0925760368664,1.096,1.394603,5.947,0.1013,7.137,0.082,0.95,0.975,15.168,305.132,40977.178255161416,7.043,18.82097558680369,499721.6854291372,-157.083606844,0.9743589742590401,0.025000000000000022,0.01619884404943896,4.26429600395238,-89.90742396313362,0.9743589742590401
2.088,3.08664,6960.18,144.1117665240017,6828.469,635.401,736,581.658,1.331,1.394603,7.282,1.019,10.655,0.287,0.95,0.975,56.408,7016.588000000001,1003043.8351250262,8.613,10.754843201827581,3494926.2535732877,-248.6737866690001,0.9743589742590401,0.025000000000000022,0.008099422024981883,5.221557676270595,-154.34199999999998,0.9743589742590401
3.144,4.6299600000000005,8379.229,145.220853450474,7111.811,606.002,736,646.0925760368664,1.389,1.394603,7.574,0.1013,13.086,0.259,0.95,0.975,120.716,8499.945,1216838.7866369619,8.963,17.876293429391392,4698219.251610579,-301.7795671660001,0.9743589742590401,0.025000000000000022,0.005399614683379566,5.430936259279522,-89.90742396313362,0.9743589742590401
4.161,6.17328,14724.395,162.0501558562443,7792.63,661.471,736,646.0925760368664,1.658,1.394603,9.007,0.1013,18.109,0.358,0.95,0.975,227.548,14951.943000000001,2386090.5046389042,10.665,17.24379887786486,6665057.273665918,-284.55693902999997,0.9743589742590401,0.025000000000000022,0.004049711012556542,6.458468825895254,-89.90742396313362,0.9743589742590401
5.14,7.7166,21636.432,201.51358613357783,8494.777,731.494,736,645.642,2.078,1.394603,11.197,1.026,26.373,0.522,0.95,0.975,350.612,21987.044,4360035.0034553,13.274999999999999,14.782758617857708,8352557.476283609,-31.224552299999804,0.9743589742590401,0.025000000000000022,0.00323976881005573,8.028808198462213,-90.35799999999995,0.9743589742590401
6.175,9.25992,29792.731,241.6307818421234,8828.36,800.434,736,676.397,2.501,1.394603,13.356,1.03,35.76,0.708,0.95,0.975,492.556,30285.287,7198840.884742067,15.857,13.078983049000144,10167854.355544183,723.3847961039995,0.9743589742590401,0.025000000000000022,0.0026998073417189394,9.576919022833021,-59.60299999999995,0.9743589742590401
7.148,10.80324,38982.18,280.44851010938913,9132.429,854.747,736,646.0925760368664,2.963,1.394603,15.679,0.1013,45.881,0.908,0.95,0.975,664.154,39646.334,10932494.301816028,18.642,11.897841408381295,12040191.961026441,2010.0228691919995,0.9743589742590401,0.025000000000000022,0.002314120578619804,11.242626037660896,-89.90742396313362,0.9743589742590401
8.206,12.34656,50996.808,323.32863183701187,9318.562,952.122,736,646.0925760368664,3.576,1.394603,18.632,0.1013,62.44,1.236,0.95,0.975,875.978,51872.786,16488728.158694781,22.208000000000002,9.989126212784052,13340394.949320989,5932.351796735999,0.9743589742590401,0.025000000000000022,0.0020248555062946714,13.360074515829954,-89.90742396313362,0.9743589742590401
9.3,13.88988,72763.329,372.843692529261,9778.528,1115.797,736,646.0925760368664,4.498,1.394603,22.811,0.1013,92.556,1.832,0.95,0.975,1289.81,74053.139,27129348.265081458,27.309,7.581812226660381,14808596.213755785,19001.277332136004,0.9743589742590401,0.025000000000000022,0.0017998715611524387,16.35662622265978,-89.90742396313362,0.9743589742590401
1.138,1.54332,379.88,141.93453809530885,6683.916,464.017,736,550.985,1.1,1.394603,5.963,1.019,3.879,0.079,0.95,0.976,15.83,395.71,53918.09233164592,7.063000000000001,19.53569617780292,682507.4970050022,-151.760258391,0.9733606556379754,0.026000000000000023,0.01684679781141652,4.275768803021362,-185.015,0.9733606556379754
